カテゴリ1,カテゴリ2,サービス名称,リスク値,使用率
業務,チャットボット,Bebot,65,85
業務,チャットボット,ObotAI,15,30
業務,ナレッジ管理,Epoch-AI,55,50
業務,ナレッジ管理,HOT Knowledge,15,100
業務,ナレッジ管理,NotePM,30,55
業務,ナレッジ管理,Qast,30,30
業務,ナレッジ管理,toaster team（トースターチーム）,45,25
業務,ナレッジ管理,ナレッジリング,55,55
業務,プロジェクト管理,arata,20,20
業務,プロジェクト管理,Backlog,15,100
業務,プロジェクト管理,Being Management3,20,40
業務,プロジェクト管理,Brabio! ブラビオ,65,15
業務,プロジェクト管理,COMMU,50,65
業務,プロジェクト管理,FCタイムレポート,45,80
業務,プロジェクト管理,Googleキープ,40,90
業務,プロジェクト管理,JIRA,50,95
業務,プロジェクト管理,Jira Software,35,45
業務,プロジェクト管理,Lychee Redmine,25,55
業務,プロジェクト管理,Mammoth Project,35,30
業務,プロジェクト管理,Microsoft Project,15,20
業務,プロジェクト管理,My Redmine,55,95
業務,プロジェクト管理,OBPM Neo,60,70
業務,プロジェクト管理,Project Canvas,30,50
業務,プロジェクト管理,Redmine,50,40
業務,プロジェクト管理,SI Object Browser PM,55,95
業務,プロジェクト管理,SynViz S2,55,75
業務,プロジェクト管理,Time Krei,40,20
業務,プロジェクト管理,TimeTrackerFX,70,50
業務,プロジェクト管理,tracpath,35,25
業務,プロジェクト管理,Trello,35,10
業務,プロジェクト管理,ZAC,35,80
業務,プロジェクト管理,Zoho Projects,40,90
業務,プロジェクト管理,クラウドログ,40,20
業務,プロジェクト管理,シェアガント,15,100
業務,プロジェクト管理,タスクワールド,20,90
業務,プロジェクト管理,マンモスプロジェクト,35,65
業務,プロジェクト管理,みんなでガント.com,40,20
業務,プロジェクト管理,点検エース for ExcelR,50,50
業務,プロジェクト管理,SuperGoodMeetings,15,100
業務,マニュアル（動画）,tebiki,60,80
業務,マニュアル（動画）,COCOMITE,30,100
業務,マニュアル（動画）,soeasy buddy,70,75
業務,マニュアル（動画）,Teachme Biz,50,20
業務,マニュアル（動画）,テックタッチ,70,45
業務,マニュアル（動画）,Dojo,20,30
業務,マニュアル（動画）,Froom,50,25
業務,マニュアル（動画）,i-Share,55,65
業務,マニュアル（動画）,iTutor アイチューター,30,80
業務,マニュアル（動画）,WikiWorks,55,25
業務,マニュアル（動画）,マニュアルくん,35,65
業務,メール配信,blastmail,55,15
業務,メール配信,ClickM@iler,35,100
業務,メール配信,Combz Mail PLUS,50,30
業務,メール配信,Cuenote SR-S,30,40
業務,メール配信,Curumeru,50,60
業務,メール配信,Customers Mail Cloud,25,100
業務,メール配信,NEXLINK BASIC,60,50
業務,メール配信,メール配信ツール,40,85
業務,メール配信,楽メール,55,20
業務,メール配信,acmailer,60,65
業務,メール配信,BitplusPRO,60,55
業務,メール配信,CCCのメールサービス,65,85
業務,メール配信,ClickM@iler クリックメーラー,15,35
業務,メール配信,Cuenote FC,55,40
業務,メール配信,CX+（シーエックスプラス）,60,30
業務,メール配信,EXPA,30,95
業務,メール配信,HyperMail,60,20
業務,メール配信,Jcity,55,55
業務,メール配信,Mail Defender,35,70
業務,メール配信,MailStore Server,15,20
業務,メール配信,mmEXPRESS,20,50
業務,メール配信,MyASP,20,45
業務,メール配信,SENDMAGIC,35,65
業務,メール配信,Starseven,20,50
業務,メール配信,VPS-NEO,65,25
業務,メール配信,WEBCAS e-mail,15,55
業務,メール配信,WiLL Mail,65,100
業務,メール配信,アクセスメール,30,30
業務,メール配信,アスメル,65,20
業務,メール配信,アララ メッセージング ソリューション,35,20
業務,メール配信,オートビズ,20,95
業務,メール配信,オレンジメール,50,40
業務,メール配信,お名前.com メール配信システム,15,30
業務,メール配信,コンビーズメールプラス,15,100
業務,メール配信,さぶみっと！メール配信,70,55
業務,メール配信,ナウゲッタmail,70,100
業務,メール配信,パワーステップメール,50,50
業務,メール配信,ブラストメール,20,65
業務,メール配信,メールスマート,60,25
業務,メール配信,メール商人,45,90
業務,メール配信,メル配クン,60,30
業務,メール配信,ワイメール,20,30
業務,メール配信,楽メールEX,50,90
業務,メール配信,急コール,55,30
業務,メール配信,緊急メール連絡板,45,30
業務,メール配信,配配メール,55,40
業務,メール配信,SaleCycle,30,80
業務,メール配信,海外,65,30
業務,メール配信,@Securemail Plus,55,45
業務,メール配信,BRODIAEA safeAttach,20,40
業務,メール配信,CyberMail メール無害化ソリューション,70,70
業務,メール配信,matriXscan apex III,65,15
業務,メール配信,OneOffice MailSolution,65,30
業務,メール配信,Terrace Mail Suite,65,25
業務,メール配信,MuuMuuMail,35,15
業務,ワークフロー,ActionPassport,40,40
業務,ワークフロー,AppRemo,15,55
業務,ワークフロー,Create!Webフロー,20,30
業務,ワークフロー,Gluegent Flow,15,80
業務,ワークフロー,kickflow,65,95
業務,ワークフロー,MAJOR FLOW Z FORM,20,100
業務,ワークフロー,NCIWF,15,25
業務,ワークフロー,Nintex Workflow,60,40
業務,ワークフロー,OpenCube Workflow,30,15
業務,ワークフロー,SmartFlow,70,80
業務,ワークフロー,X-point Cloud,65,35
業務,ワークフロー,コラボフロー,20,90
業務,ワークフロー,賢人ワークフロー,60,90
業務,ワークフロー,Yoom（ユーム）,45,55
業務,ワークフロー,楽々WorkflowII,65,95
業務,会議室予約,iMeeting®-R,55,85
業務,会議室予約,ROOM CONCIER ルームコンシェル,65,75
業務,会議室予約,touch-mee,30,35
業務,会議室予約,WorkstyleOS,15,95
業務,業務改善,AppSuite,15,90
業務,業務改善,Gyazo,40,85
業務,業務改善,A!-Planner,45,45
業務,業務改善,kintone キントーン,35,55
業務,業務改善,Linkit,30,75
業務,業務改善,SmartDB,70,30
業務,業務改善,Autify,15,20
業務,業務改善,SKYATT,35,50
業務,業務改善,PPAT Bridal事業,25,70
業務,業務改善,LMIS,25,65
業務,業務改善,LEMONADE,40,70
業務,業務改善,SMART WORK KIT,65,80
業務,業務改善,Splashtop Business,65,80
業務,業務改善,Qasee,60,100
業務,業務改善,One Minutes,20,15
業務,業務改善,Arkプロセスマイニング,70,10
業務,業務改善,リスクアナライズ,20,80
業務,業務改善,iChain Base,35,35
業務,業務改善,Musubi,55,70
業務,業務管理,AYATORI,65,45
業務,業務管理,Bizer team,25,15
業務,業務管理,DESKTOP+Plus,65,55
業務,業務管理,Flow,25,45
業務,業務管理,Huddler,30,70
業務,業務管理,InnoScouter,50,45
業務,業務管理,octpath（オクトパス）,55,100
業務,業務管理,Questetra,50,30
業務,業務管理,TeamSpirit,55,15
業務,業務管理,Tocaro,30,90
業務,業務管理,Venus Cloud,30,85
業務,業務管理,カミナシ,15,20
業務,業務管理,らくらくBOSS,30,40
業務,業務管理,P2NetEX,40,80
業務,業務管理,ALL-IN,25,10
業務,業務管理,Chat&Messenger,25,90
業務,業務管理,Diamond Portal,20,40
業務,業務管理,ecat CLOUD,65,40
業務,業務管理,GroupSession byCloud,70,55
業務,業務管理,J-MOTTOグループウェア,40,30
業務,業務管理,mitoco,35,50
業務,業務管理,rakumo,70,30
業務,業務管理,RiNK,15,100
業務,業務管理,TeamOn,15,65
業務,業務管理,WORKCLOUDシステム,40,55
業務,業務管理,ZENO,60,55
業務,業務管理,ジョブマネ,70,100
業務,業務管理,デスクネッツネオ,65,40
業務,業務管理,カナミッククラウド,25,45
業務,業務管理,Care-wing 介護の翼,50,55
業務,業務管理,Kango,50,30
業務,業務管理,i-Reporter Connector,15,60
業務,業務管理,houren.so ホウレンソウ,65,25
業務,業務管理,ジニー,35,85
業務,業務管理,Comiru,25,20
業務,業務管理,knowbe,60,100
業務,業務管理,01組織クラウド,30,60
業務,業務管理,NEWJI,65,25
業務,業務管理,パネイルクラウド,20,80
業務,業務管理,AGRIHUBクラウド,65,45
業務,業務管理,CiAGIS,30,70
業務,業務管理,大家のヤモリ,65,30
業務,業務管理,TradeWaltzR,45,95
業務,業務支援,CielVenusCloud,20,60
業務,業務支援,dbSheetClient,65,60
業務,業務支援,Flyle,50,85
業務,業務支援,MediOS,65,40
業務,業務支援,RFQクラウド,35,15
業務,業務支援,SecureNavi,70,70
業務,業務支援,WiseVine,35,100
業務,業務支援,入力速イモン,50,100
業務,業務支援,Airレジ,55,15
業務,業務支援,スマレジ,25,70
業務,業務支援,ユビレジ,30,95
業務,業務支援,マネーフォワード クラウド,30,30
業務,業務支援,Qナビ,60,20
業務,業務支援,Enterpras Std エンタープラス スタンダード,25,50
業務,業務支援,flouu,55,90
業務,業務支援,Mobile WorkPlace,55,65
業務,業務支援,moconavi モコナビ,40,10
業務,業務支援,RWM,55,70
業務,業務支援,Splashtop for CACHATTOクラウドパック,45,15
業務,業務支援,SunnyWork,20,30
業務,業務支援,X3Secure for RDP,25,75
業務,業務支援,PowerBuilder,55,95
業務,業務支援,WebPerformer,70,65
業務,業務支援,Cost PRO,30,65
業務,業務支援,ABookCheck,35,85
業務,業務支援,Benrie,25,80
業務,業務支援,スライドメーカー,55,10
業務,業務支援,KiteRa,30,45
業務,業務支援,A-SaaS,65,75
業務,業務支援,スマテンBASE,50,35
業務,業務支援,CoDMON,15,20
業務,業務支援,ルクミー,30,45
業務,業務支援,subreey（サブリー）,60,50
業務,現場管理,ANDPAD,30,40
業務,現場管理,AnyONE,15,55
業務,現場管理,CraftBank,45,55
業務,現場管理,Photoruction,50,30
業務,現場管理,SPIDERPLUS,65,95
業務,現場管理,SynQ Remote,40,30
業務,現場管理,インスペ,25,55
業務,現場管理,ダンドリワーク,20,45
業務,現場管理,Qosmosレポート,70,85
業務,現場管理,iField,25,75
業務,現場管理,Proceedクラウド,70,100
業務,現場管理,paditch,15,70
業務,現場管理,SmartAttack,70,45
業務,受付管理,QRinログ取得サービス,25,10
業務,受付管理,RECEPTIONIST,55,20
業務,受付管理,ラクネコ,30,40
業務,入退室管理,Akerun,35,35
業務,入退室管理,ALLIGATE,15,55
業務,入退室管理,bitlock Starter Kit,20,75
業務,入退室管理,Reclip,25,35
業務,入退室管理,teamLab Ticketing System,55,45
業務,入退室管理,パレット管理,50,15
業務,入退室管理,SECURE AC,35,90
業務,入退室管理,KEYes解錠管理アプリ,15,65
業務,汎用監視システム,VISION310シリーズ汎用監視システム,35,55
業務,販促管理,ExeQuint,45,50
業務,販促管理,flam,55,20
業務,販促管理,glan system,55,70
業務,販促管理,GrowOne 販売情報システム,35,20
業務,販促管理,motolist,45,30
業務,販促管理,Scalebase（スケールベース）,70,40
業務,販促管理,SPinno,45,55
業務,販促管理,STORECAST,70,100
業務,販促管理,WorkVision販売管理,60,55
業務,販促管理,クロスオーダー,20,25
業務,販促管理,セールスノート,20,95
業務,販促管理,パートナーサクセス,50,25
業務,販促管理,poscm クラウド,55,35
業務,販促管理,ハンジョウPOSレジ,60,65
業務,販促管理,mcframe 7,20,65
業務,販促管理,ラクミー,30,70
業務,販促管理,Paintnote,30,15
業務,販促管理,One’sCloset,25,95
業務,文書管理,ASTRUX SaaS,45,75
業務,文書管理,booMo,15,15
業務,文書管理,ConTrack,60,65
業務,文書管理,DocuMaker Office,60,60
業務,文書管理,Documal SaaS,60,30
業務,文書管理,e-Pod Digital,30,65
業務,文書管理,EIMANAGER,20,50
業務,文書管理,GlobalDoc5,25,25
業務,文書管理,GREEN-DOC,70,40
業務,文書管理,MyQuickクラウド,30,80
業務,文書管理,NsxpresⅡ原本管理サービス,70,35
業務,文書管理,SideBooksクラウド本棚,20,45
業務,文書管理,Working Folder,55,75
業務,文書管理,セキュアSAMBA pro,65,100
業務,文書管理,楽々Document Plus,15,70
業務,文書管理,Bank Invoice,65,75
業務,文書管理,Arrow Search,15,75
業務,文書管理,タンテキ,20,30
業務,文字起こし,Texta,15,90
業務,文字起こし,toruno,30,90
業務,文字起こし,writer.app,25,95
業務,文字起こし,Rimo Voice,70,70
業務,文字起こし,pickupon,50,45
業務,web接客,KARTE,50,25
業務,web接客,AiDeal,45,95
業務,web接客,Carebee,20,45
業務,web接客,Chamo（チャモ）,65,55
業務,web接客,CODE Marketing Cloud,55,70
業務,web接客,ECコンシェル,40,45
業務,web接客,f-tra CTA,40,60
業務,web接客,Flipdesk フリップデスク,20,90
業務,web接客,HASSO,65,95
業務,web接客,Live800PLUS,55,35
業務,web接客,LiveAgent,70,55
業務,web接客,RURA,65,40
業務,web接客,TETORI,50,90
業務,web接客,TimeRep,20,95
業務,web接客,Webica ウェビカ,50,30
業務,web接客,ビデオトーク powered by 空電,50,45
業務,web接客,Chat Plus,40,45
業務,web接客,qualva,60,15
業務,web接客,ShowTalk,40,15
業務,web接客,sinclo シンクロ,70,15
業務,web接客,coco,20,45
業務,web接客,myhm,55,70
人材,勤怠管理,AKASHI,40,40
人材,勤怠管理,BizWork+,50,55
人材,勤怠管理,CC-BizMate,65,15
人材,勤怠管理,CLOUZA,55,35
人材,勤怠管理,e-就業OasiS,45,85
人材,勤怠管理,Elizea,60,30
人材,勤怠管理,FC勤怠,20,75
人材,勤怠管理,Focus U タイムレコーダー,60,20
人材,勤怠管理,follow スマートタッチ,20,65
人材,勤怠管理,G’Job 勤怠24,60,95
人材,勤怠管理,Gulf CSM 勤怠管理,45,50
人材,勤怠管理,Hachikin,60,25
人材,勤怠管理,IBLook,40,20
人材,勤怠管理,ICタイムリコーダー,60,30
人材,勤怠管理,IEYASU,45,70
人材,勤怠管理,kincone,45,90
人材,勤怠管理,KING OF TIME,30,95
人材,勤怠管理,kinnosuke,30,40
人材,勤怠管理,KINPIRA CLOUD,65,45
人材,勤怠管理,KnockMe!,45,80
人材,勤怠管理,MITERAS勤怠,55,100
人材,勤怠管理,MOTクラウド勤怠管理システム,15,50
人材,勤怠管理,oplus,55,45
人材,勤怠管理,POS+ time recorder,25,95
人材,勤怠管理,RecoRu,50,70
人材,勤怠管理,RocoTime,70,100
人材,勤怠管理,ShiftMAX,35,65
人材,勤怠管理,Solaポータルサービス,50,30
人材,勤怠管理,Taskal Time-Card,50,75
人材,勤怠管理,TimePro-VG,70,60
人材,勤怠管理,Tomas,40,20
人材,勤怠管理,Touch On Time,55,95
人材,勤怠管理,USBタイムレコーダー,50,75
人材,勤怠管理,クロノスPerformanceクラウド,60,80
人材,勤怠管理,シュキーン,25,20
人材,勤怠管理,ジョブカン勤怠管理,70,55
人材,勤怠管理,スマレジ･タイムカード,40,85
人材,勤怠管理,ちゃっかり勤太くん,50,60
人材,勤怠管理,ネクストICカード,50,80
人材,勤怠管理,バイバイタイムカード,45,15
人材,勤怠管理,ミナジン就業管理システム,65,15
人材,勤怠管理,ユビキス(UBIXS)勤怠管理システム,65,40
人材,勤怠管理,リシテア 就業管理クラウドサービス,15,20
人材,勤怠管理,レコル,55,45
人材,勤怠管理,レコレル,40,60
人材,勤怠管理,勤次郎Smart,45,85
人材,勤怠管理,勤怠管理ARMS,45,15
人材,勤怠管理,勤労の獅子,55,15
人材,勤怠管理,交通費精算システムSPEASIC,20,35
人材,勤怠管理,出欠管理システム,25,25
人材,勤怠管理,勤務表BPO,60,85
人材,勤怠管理,F-Chair+,25,85
人材,勤怠管理,シフトナ,40,10
人材,勤怠管理,Time de Net,70,70
人材,ES調査,BetterEngage,65,25
人材,ES調査,ES-Quick,25,15
人材,ES調査,H&G ES,60,15
人材,ES調査,HR OnBoard,30,10
人材,ES調査,Niser ES,55,100
人材,ES調査,tenpoket チームアンケート,25,75
人材,ES調査,VOISE,55,100
人材,ES調査,wellday,10,50
人材,ES調査,Willysm,65,40
人材,ES調査,オーピタスサーベイ,65,55
人材,ES調査,クアルトリクス 従業員エクスペリエンス（EX）,40,70
人材,ES調査,やる気分析システム「MSQ（Motivation of Status Quo)」,20,20
人材,ES調査,パルラビ,60,20
人材,ES調査,ラフールサーベイ,60,50
人材,eラーニング,AirCourse,40,70
人材,eラーニング,BISCUE,70,50
人材,eラーニング,Bizmates,70,20
人材,eラーニング,CAREERSHIP,45,35
人材,eラーニング,CodeCamp,30,75
人材,eラーニング,CODEPREP,40,80
人材,eラーニング,D-SCHOOL,70,40
人材,eラーニング,educure,45,15
人材,eラーニング,EGG,35,100
人材,eラーニング,etudes,35,70
人材,eラーニング,eマナビー,15,90
人材,eラーニング,eラーニング,70,100
人材,eラーニング,eラーニングマネージャーZ,15,30
人材,eラーニング,i-netshool eラーニングシステム,25,75
人材,eラーニング,iStudy LMS,55,35
人材,eラーニング,KENRO,50,40
人材,eラーニング,KnowledgeC@fe,70,100
人材,eラーニング,KnowledgeDeliver,15,60
人材,eラーニング,LearningWare,65,55
人材,eラーニング,LearnO,50,90
人材,eラーニング,MENTER,30,70
人材,eラーニング,Multiverse,45,25
人材,eラーニング,Platon,65,75
人材,eラーニング,playse.,70,20
人材,eラーニング,Progate,65,50
人材,eラーニング,Schoo,50,80
人材,eラーニング,Seculio,20,35
人材,eラーニング,SLAP,60,80
人材,eラーニング,Smart Boarding,20,45
人材,eラーニング,Smart Habit,45,100
人材,eラーニング,SmartBrain,20,60
人材,eラーニング,Special Learning,30,70
人材,eラーニング,Speed LMS,50,30
人材,eラーニング,SURGE（サージ）,55,95
人材,eラーニング,TANREN,25,90
人材,eラーニング,TG-WEB eye,15,60
人材,eラーニング,TOP ESLオンライン英会話,15,20
人材,eラーニング,オンライン英会話･Bizmates,50,30
人材,eラーニング,コラーニング,50,70
人材,eラーニング,サイバックスUniv.,40,20
人材,eラーニング,ストアカ,25,60
人材,eラーニング,テックキャンプ,25,25
人材,eラーニング,ドットインストール,30,85
人材,eラーニング,学び～と,30,100
人材,eラーニング,光Webスクール,30,20
人材,eラーニング,資格スクエアクラウド,70,90
人材,eラーニング,派遣のミカタ,70,45
人材,eラーニング,SYMPROBUS Targeted Mail Training,45,95
人材,eラーニング,セールスeラーニング,15,75
人材,eラーニング,STUDY360,50,60
人材,OKR,banto,40,55
人材,web面接,ApplyNow,45,95
人材,web面接,BioGraph,65,30
人材,web面接,harutaka,65,85
人材,web面接,HireVue,35,20
人材,web面接,ITSUMEN,20,85
人材,web面接,SOKUMEN,30,35
人材,web面接,Video Interview,65,75
人材,web面接,VIEWHUB,65,70
人材,web面接,インタビューメーカー,50,35
人材,web面接,ウェブメン,20,70
人材,web面接,どこでも面接,45,80
人材,web面接,ドコデモ面接、LiveCall,70,90
人材,web面接,ビデオトーク,70,85
人材,シフト管理,アールシフト,55,85
人材,シフト管理,シフオプ,50,35
人材,シフト管理,らくしふ,35,45
人材,シフト管理,幹部の右腕,30,70
人材,シフト管理,HRBEST,40,30
人材,メンタルヘルス,ALART,45,60
人材,メンタルヘルス,Ally,70,45
人材,メンタルヘルス,Dr.健康経営のサービス,10,85
人材,メンタルヘルス,People’s,25,25
人材,メンタルヘルス,産業医クラウド,20,25
人材,メンタルヘルス,M-Check+,65,15
人材,安否確認,トヨクモ安否確認サービス2,25,100
人材,安否確認,安否確認bot for LINE WORKS,55,55
人材,健康管理,Carely,55,90
人材,健康管理,Dr.CHECK,60,100
人材,健康管理,newbie,10,15
人材,健康管理,STRESCOPE,45,50
人材,健康管理,your mediPhone,30,45
人材,健康管理,オフィスおかん,60,50
人材,健康管理,Atleta,65,20
人材,採用管理,COMPANY 雇用手続管理システム,60,80
人材,採用管理,HERP Hire,50,95
人材,採用管理,HITO-Link CRM,55,70
人材,採用管理,HRMOS,45,100
人材,採用管理,i-web 新卒採用モデル,35,95
人材,採用管理,JoBins,35,70
人材,採用管理,MyRefer,30,35
人材,採用管理,next≫,70,60
人材,採用管理,RPM,60,85
人材,採用管理,sonar ATS,15,40
人材,採用管理,Talentio Hire,20,65
人材,採用管理,エアリーフレッシャーズクラウド,35,50
人材,採用管理,ジョブスイート,70,55
人材,採用管理,リクオプ,15,25
人材,採用管理,リクナビHRTech採用管理,35,15
人材,採用管理,採用一括カンリクン,65,55
人材,採用管理,GLIT Admin,55,80
人材,採用管理,Official-Alumni.com,50,20
人材,採用管理,Discover,25,25
人材,採用管理,SkyFox HR,65,55
人材,採用管理,HireRoo,60,30
人材,採用管理,SHIRAHA,70,85
人材,採用管理,TalentCloud,70,30
人材,採用管理,Offers,70,30
人材,採用管理,Refcome,70,25
人材,採用管理,back check,65,80
人材,採用管理,リファレンス・レター,70,100
